11,Supernatural,Drama,The WB,"When they were boys, Sam and Dean Winchester lost their mother to a mysterious and demonic supernatural force. Subsequently, their father raised them to be soldiers. He taught them about the paranormal evil that lives in the dark corners and on the back roads of America ... and he taught them how to kill it. Now, the Winchester brothers crisscross the country in their '67 Chevy Impala, battling every kind of supernatural threat they encounter along the way. ",297,2005,45,Tv
12,Arrow,Crime,The CW,"Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.",142,2012,42,Tv
13,The Simpsons,Animation,FOX,"Set in Springfield, the average American town, the show focuses on the antics and everyday adventures of the Simpson family; Homer, Marge, Bart, Lisa and Maggie, as well as a virtual cast of thousands. Since the beginning, the series has been a pop culture icon, attracting hundreds of celebrities to guest star. The show has also made name for itself in its fearless satirical take on politics, media and American life in general.",645,1989,22,Tv
14,Game of Thrones,Sci-Fi & Fantasy,HBO,"Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and icy horrors beyond.",73,2011,60,Tv
15,Law & Order: Special Victims Unit,Crime,NBC,"In the criminal justice system, sexually-based offenses are considered especially heinous. In New York City, the dedicated detectives who investigate these vicious felonies are members of an elite squad known as the Special Victims Unit. These are their stories.",442,1999,43,Tv
16,Chilling Adventures of Sabrina,Sci-Fi & Fantasy,Netflix,"As her 16th birthday nears, Sabrina must choose between the witch world of her family and the human world of her friends. Based on the Archie comic.",10,2018,60,Tv
17,Castlevania,Action & Adventure,Netflix,"A dark medieval fantasy following the last surviving member of the disgraced Belmont clan, trying to save Eastern Europe from extinction at the hand of Vlad Dracula Tepe himself. Inspired by the classic video game series.",12,2017,24,Tv
18,Doctor Who,Action & Adventure,BBC One,"The Doctor is a Time Lord: a 900 year old alien with 2 hearts, part of a gifted civilization who mastered time travel. The Doctor saves planets for a living – more of a hobby actually, and the Doctor's very, very good at it.",133,2005,80,Tv
19,Titans,Action & Adventure,DC Universe,A team of young superheroes led by Nightwing (formerly Batman's first Robin) form to combat evil and other perils.,11,2018,43,Tv
20,Supergirl,Action,CBS,"Twenty-four-year-old Kara Zor-El, who was taken in by the Danvers family when she was 13 after being sent away from Krypton, must learn to embrace her powers after previously hiding them. The Danvers teach her to be careful with her powers, until she has to reveal them during an unexpected disaster, setting her on her journey of heroism.",72,2015,42,Tv
21,DC's Legends of Tomorrow,Action & Adventure,The CW,"When heroes alone are not enough ... the world needs legends. Having seen the future, one he will desperately try to prevent from happening, time-traveling rogue Rip Hunter is tasked with assembling a disparate group of both heroes and villains to confront an unstoppable threat — one in which not only is the planet at stake, but all of time itself. Can this ragtag team defeat an immortal threat unlike anything they have ever known?",61,2016,42,Tv
22,Channel Zero,Drama,Syfy,A horror anthology series inspired by “Creepypasta” online tales.,24,2016,42,Tv
23,Marvel's Agents of S.H.I.E.L.D.,Drama,ABC,"Agent Phil Coulson of S.H.I.E.L.D. (Strategic Homeland Intervention, Enforcement and Logistics Division) puts together a team of agents to investigate the new, the strange and the unknown around the globe, protecting the ordinary from the extraordinary.",110,2013,43,Tv
24,Istanbullu Gelin,Drama,Star TV,Faruk is the owner of a bus company and the leader of a powerful family in Bursa which is a metropol in Turkey. Faruk meets a violonist girl and falls in love with her. But the dominant mother of Faruk isn't happy with her son's relationship.,43,2017,120,Tv
25,Family Guy,Animation,FOX,"Sick, twisted, politically incorrect and Freakin' Sweet animated series featuring the adventures of the dysfunctional Griffin family. Bumbling Peter and long-suffering Lois have three kids. Stewie (a brilliant but sadistic baby bent on killing his mother and taking over the world), Meg (the oldest, and is the most unpopular girl in town) and Chris (the middle kid, he's not very bright but has a passion for movies). The final member of the family is Brian - a talking dog and much more than a pet, he keeps Stewie in check whilst sipping Martinis and sorting through his own life issues.",314,1999,22,Tv
26,Tom and Jerry,Animation,CBS,"Tom and Jerry is a series of theatrical animated cartoon films created by William Hanna and Joseph Barbera for Metro-Goldwyn-Mayer, centering on a rivalry between a cat and a mouse whose chases include slapstick comedy.",161,1940,10,Tv
27,Blindspot,Action,NBC,"A vast international plot explodes when a beautiful Jane Doe is discovered naked in Times Square, completely covered in mysterious, intricate tattoos with no memory of who she is or how she got there. But there's one tattoo that is impossible to miss: the name of FBI agent Kurt Weller, emblazoned across her back. ""Jane,"" Agent Weller and the rest of the FBI quickly realize that each mark on her body is a crime to solve, leading them closer to the truth about her identity and the mysteries to be revealed.",78,2015,43,Tv
28,Dark Shadows,Drama,ABC,"Dark Shadows is an American gothic soap opera that originally aired weekdays on the ABC television network, from June 27, 1966, to April 2, 1971. The show was created by Dan Curtis. The story bible, which was written by Art Wallace, does not mention any supernatural elements. It was unprecedented in daytime television when ghosts were introduced about six months after it began.

The series became hugely popular when vampire Barnabas Collins appeared a year into its run. Dark Shadows also featured werewolves, zombies, man-made monsters, witches, warlocks, time travel, and a parallel universe. A small company of actors each played many roles; indeed, as actors came and went, some characters were played by more than one actor. Major writers besides Art Wallace included Malcolm Marmorstein, Sam Hall, Gordon Russell, and Violet Welles.

Dark Shadows was distinguished by its vividly melodramatic performances, atmospheric interiors, memorable storylines, numerous dramatic plot twists, unusually adventurous music score, and broad and epic cosmos of characters and heroic adventures. Now regarded as something of a classic, it continues to enjoy an intense cult following. Although the original series ran for only five years, its scheduling as a daily daytime drama allowed it to amass more single episodes during its run than most other science-fiction/fantasy genre series produced for English-language television, including Doctor Who and the entire Star Trek television franchise. Only the paranormal soap opera Passions, with a total of 2,231 episodes, has more.",1223,1966,30,Tv
29,Lethal Weapon,Action & Adventure,FOX,A slightly unhinged former Navy SEAL lands a job as a police officer in Los Angeles where he's partnered with a veteran detective trying to keep maintain a low stress level in his life.,45,2016,43,Tv
30,Breaking Bad,Drama,AMC,"When Walter White, a New Mexico chemistry teacher, is diagnosed with Stage III cancer and given a prognosis of only two years left to live, he becomes filled with a sense of fearlessness and an unrelenting desire to secure his family's financial future at any cost as he enters the dangerous world of drugs and crime.",62,2008,45,Tv
31,দুপুর ঠাকুরপো,Comedy,hoichoi,"When Jibon Babu brings home a vivacious wife, Uma, inappropriate things start happening as she becomes the fantasy and obsession of the other young tenants in the house.",15,2017,,Tv
32,The Rocky and Bullwinkle Show,Animation,NBC,"The Rocky & Bullwinkle Show is an American animated television series that originally aired from November 19, 1959, to June 27, 1964, on the ABC and NBC television networks. Produced by Jay Ward Productions, the series is structured as a variety show, with the main feature being the serialized adventures of the two title characters, the anthropomorphic moose Bullwinkle and flying squirrel Rocky. The main adversaries in most of their adventures are the Russian-like spies Boris Badenov and Natasha Fatale. Supporting segments include Dudley Do-Right, Peabody's Improbable History, and Fractured Fairy Tales, among others.

Rocky & Bullwinkle is known for quality writing and wry humor. Mixing puns, cultural and topical satire, and self-referential humor, it appealed to adults as well as children. It was also one of the first cartoons whose animation was outsourced; storyboards were shipped to Gamma Productions, a Mexican studio also employed by Total Television. Thus the art has a choppy, unpolished look and the animation is extremely limited even by television animation standards. Yet the series has long been held in high esteem by those who have seen it; some critics described the series as a well-written radio program with pictures.",815,1959,30,Tv
33,Emmerdale,Soap,ITV,"The lives of several families in the Yorkshire Dales revolve around a farm and the nearby village. With murders, affairs, lies, deceit, laughter and tears, it's all there in the village.",3117,1972,30,Tv
34,Gotham,Drama,FOX,"Before there was Batman, there was GOTHAM. 

Everyone knows the name Commissioner Gordon. He is one of the crime world's greatest foes, a man whose reputation is synonymous with law and order. But what is known of Gordon's story and his rise from rookie detective to Police Commissioner? What did it take to navigate the multiple layers of corruption that secretly ruled Gotham City, the spawning ground of the world's most iconic villains? And what circumstances created them – the larger-than-life personas who would become Catwoman, The Penguin, The Riddler, Two-Face and The Joker? ",89,2014,43,Tv
35,The Vampire Diaries,Drama,The CW,"The story of two vampire brothers obsessed with the same girl, who bears a striking resemblance to the beautiful but ruthless vampire they knew and loved in 1864.",171,2009,43,Tv
36,The Haunting of Hill House,Drama,Netflix,"The Crains, a fractured family, confront haunting memories of their old home and the terrifying events that drove them from it.",10,2018,50,Tv
37,Hawaii Five-0,Action,CBS,"Steve McGarrett returns home to Oahu, in order to find his father's killer. The governor offers him the chance to run his own task force (Five-0). Steve's team is joined by Chin Ho Kelly, Danny ""Danno"" Williams, and Kono Kalakaua.",200,2010,42,Tv
38,Friends,Comedy,NBC,"The misadventures of a group of friends as they navigate the pitfalls of work, life and love in Manhattan.",236,1994,22,Tv
39,Riverdale,Drama,The CW,"Set in the present, the series offers a bold, subversive take on Archie, Betty, Veronica and their friends, exploring the surreality of small-town life, the darkness and weirdness bubbling beneath Riverdale’s wholesome facade.",39,2017,45,Tv
40,Salvation,Drama,CBS,An MIT grad student and a tech superstar bring a low-level Pentagon official a staggering discovery that an asteroid is just six months away from colliding with Earth.,26,2017,45,Tv
41,Shameless,Drama,Showtime,"Chicagoan Frank Gallagher is the proud single dad of six smart, industrious, independent kids, who without him would be... perhaps better off. When Frank's not at the bar spending what little money they have, he's passed out on the floor. But the kids have found ways to grow up in spite of him. They may not be like any family you know, but they make no apologies for being exactly who they are.",103,2011,60,Tv
42,Vikings,Action & Adventure,History,"Vikings follows the adventures of Ragnar Lothbrok, the greatest hero of his age. The series tells the sagas of Ragnar's band of Viking brothers and his family, as he rises to become King of the Viking tribes. As well as being a fearless warrior, Ragnar embodies the Norse traditions of devotion to the gods. Legend has it that he was a direct descendant of Odin, the god of war and warriors.",60,2013,44,Tv
43,La casa de papel,Crime,Antena 3,"To carry out the biggest heist in history, a mysterious man called The Professor recruits a band of eight robbers who have a single characteristic: none of them has anything to lose. Five months of seclusion - memorizing every step, every detail, every probability - culminate in eleven days locked up in the National Coinage and Stamp Factory of Spain, surrounded by police forces and with dozens of hostages in their power, to find out whether their suicide wager will lead to everything or nothing.",15,2017,70,Tv
44,Fear the Walking Dead,Drama,AMC,"What did the world look like as it was transforming into the horrifying apocalypse depicted in ""The Walking Dead""? This spin-off set in Los Angeles, following new characters as they face the beginning of the end of the world, will answer that question.",53,2015,43,Tv
45,Dynasty,Drama,The CW,"The reboot follows two of America’s wealthiest families, the Carringtons and the Colbys, as they feud for control over their fortune and their children focusing on Fallon Carrington, the daughter of billionaire Blake Carrington, and her soon-to-be stepmother, Cristal, a Hispanic woman marrying into this WASP family and America’s most powerful class.",26,2017,45,Tv
46,NCIS,Action & Adventure,CBS,"From murder and espionage to terrorism and stolen submarines, a team of special agents investigates any crime that has a shred of evidence connected to Navy and Marine Corps personnel, regardless of rank or position.",360,2003,45,Tv
47,The Daily Show with Trevor Noah,News,Comedy Central,"Trevor Noah and The World's Fakest News Team tackle the biggest stories in news, politics and pop culture.",3136,1996,30,Tv
48,Charmed,Drama,The CW,"Set in the fictional college town of Hilltowne, Charmed follows the lives of three sisters, Macy, Mel and Maggie Vera who, after the tragic death of their mother, discover they are three of the most powerful witches of all time.",5,2018,45,Tv
49,Salatut elämät,Soap,MTV3,"Salatut elämät is a Finnish television series that premiered on MTV3 on 25 January 1999. It was the first, and so far only, Finnish daily soap opera.

During the series' 14-year run, over 2,500 episodes have been aired. On 17 August 2009, it was announced that Salatut elämät will be on the air until the spring 2015 making the series the second longest-lasting drama series of all time in Finland, only behind Yle TV1's Kotikatu. The series' storylines follow the daily lives of several families who live in the same apartment block in Helsinki. The series primarily centres around the residents of Pihlajakatu and its neighbouring areas. Only three of the original twenty characters Seppo, Ismo and Kalle, still remain in the series, and most of the series' current characters have made their debuts in 2008 or later.

MTV3 also airs reruns of the series every weekend. In the summer, the channel airs reruns of the series; in the summer of 2011, episodes from the season 2006–2007 and 2007–2008 were aired.

Four web spin-off series have been made; Romeo & Rafael Desperados in 2008, Lillukanvarsia in 2010–2011, Tuuliranta in 2011–2012 and ""Young man cash man"" in 2013.",2892,1999,30,Tv
50,NCIS: Los Angeles,Action & Adventure,CBS,"The exploits of the Los Angeles–based Office of Special Projects (OSP), an elite division of the Naval Criminal Investigative Service that specializes in undercover assignments.",223,2009,44,Tv
51,How to Get Away with Murder,Crime,ABC,"A sexy, suspense-driven legal thriller about a group of ambitious law students and their brilliant, mysterious criminal defense professor. They become entangled in a murder plot and will shake the entire university and change the course of their lives.",68,2014,43,Tv
52,Empire,Soap,FOX,A powerful family drama about the head of a music empire whose three sons and ex-wife all battle for his throne.,73,2015,43,Tv
53,The Block,Reality,Nine Network,Couples compete against each other to renovate houses and sell them at auction for the highest price.,613,2003,60,Tv
54,The Good Place,Sci-Fi & Fantasy,NBC,"Eleanor Shellstrop, an ordinary woman who, through an extraordinary string of events, enters the afterlife where she comes to realize that she hasn't been a very good person. With the help of her wise afterlife mentor, she's determined to shed her old way of living and discover the awesome (or at least the pretty good) person within.",37,2016,22,Tv
55,House of Cards,Drama,Netflix,"Set in present day Washington, D.C., House of Cards is the story of Frank Underwood, a ruthless and cunning politician, and his wife Claire who will stop at nothing to conquer everything. This wicked political drama penetrates the shadowy world of greed, sex and corruption in modern D.C. 

House of Cards is an adaptation of a previous BBC miniseries of the same name, which is based on the novel by Michael Dobbs.",73,2013,50,Tv
73,American Dad!,Animation,FOX,"The series focuses on an eccentric motley crew that is the Smith family and their three housemates: Father, husband, and breadwinner Stan Smith; his better half housewife, Francine Smith; their college-aged daughter, Hayley Smith; and their high-school-aged son, Steve Smith. Outside of the Smith family, there are three additional main characters, including Hayley's boyfriend turned husband, Jeff Fischer; the family's man-in-a-goldfish-body pet, Klaus; and most notably the family's zany alien, Roger, who is ""full of masquerades, brazenness, and shocking antics.""",247,2005,22,Tv
74,Narcos,Crime,Netflix,A gritty chronicle of the war against Latin America's infamously violent and powerful drug cartels.,30,2015,57,Tv
1213,The Hunger Games: Mockingjay - Part 1,Science Fiction,Lionsgate,Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.,1,2014,123,Movie
56,The Colbert Report,News,Comedy Central,"The Colbert Report is an American satirical late night television program that airs Monday through Thursday on Comedy Central. It stars political humorist Stephen Colbert, a former correspondent for The Daily Show with Jon Stewart. The Colbert Report is a spin-off from and counterpart to The Daily Show that comments on politics and the media in a similar way. It satirizes conservative personality-driven political pundit programs, particularly Fox News' The O'Reilly Factor. The show focuses on a fictional anchorman character named Stephen Colbert, played by his real-life namesake. The character, described by Colbert as a ""well-intentioned, poorly informed, high-status idiot"", is a caricature of televised political pundits.

The Colbert Report has been nominated for seven Primetime Emmy Awards each in 2006, 2007, 2008, 2009, 2010, 2011, and 2012, two Television Critics Association Awards Awards, and two Satellite Awards. In 2013, it won two Emmys. It has been presented as non-satirical journalism in several instances, including by the Tom DeLay Legal Defense Trust and by Robert Wexler following his interview on the program. The Report received considerable media coverage following its debut on October 17, 2005, for Colbert's coining of the term ""truthiness"", which dictionary publisher Merriam-Webster named its 2006 Word of the Year.",1443,2005,24,Tv
57,Mindhunter,Drama,Netflix,An agent in the FBI's Elite Serial Crime Unit develops profiling techniques as he pursues notorious serial killers and rapists.,10,2017,60,Tv
58,ポケモン,Action & Adventure,TV Tokyo,"Join Ash Ketchum, accompanied by his partner Pikachu, as he travels through many regions, meets new friends and faces new challenges on his quest to become a Pokémon Master.",1028,1997,22,Tv
59,Criminal Minds,Crime,CBS,"An elite team of FBI profilers analyze the country's most twisted criminal minds, anticipating their next moves before they strike again. The Behavioral Analysis Unit's most experienced agent is David Rossi, a founding member of the BAU who returns to help the team solve new cases.",304,2005,42,Tv
60,ワンピース,Action & Adventure,Fuji TV,"Years ago, the fearsome pirate king Gol D. Roger was executed, leaving a huge pile of treasure and the famous ""One Piece"" behind. Whoever claims the ""One Piece"" will be named the new pirate king. Monkey D. Luffy, a boy who consumed one of the ""Devil's Fruits"", has it in his head that he'll follow in the footsteps of his idol, the pirate Shanks, and find the One Piece. It helps, of course, that his body has the properties of rubber and he's surrounded by a bevy of skilled fighters and thieves to help him along the way. Monkey D. Luffy brings a bunch of his crew followed by, Roronoa Zoro, Nami, Usopp, Sanji, Tony-Tony Chopper, Nico Robin, Franky, and Brook. They will do anything to get the One Piece and become King of the Pirates!",860,1999,25,Tv
61,This Is Us,Comedy,NBC,"Follows the lives and families of three adults living and growing up in the United States of America in present and past times. As their paths cross and their life stories intertwine in curious ways, we find that several of them share the same birthday - and so much more than anyone would expect.",42,2016,43,Tv
62,Once Upon a Time,Drama,ABC,"There is a town in Maine where every story book character you've ever known is trapped between two worlds, victims of a powerful curse. Only one knows the truth and only one can break the spell.

Emma Swan is a 28-year-old bail bonds collector who has been supporting herself since she was abandoned as a baby. Things change for her when her son Henry, whom she abandoned years ago, finds her and asks for her help explaining that she is from a different world where she is Snow White's missing daughter.",156,2011,43,Tv
63,Modern Family,Comedy,ABC,"The Pritchett-Dunphy-Tucker clan is a wonderfully large and blended family. They give us an honest and often hilarious look into the sometimes warm, sometimes twisted, embrace of the modern family.",217,2009,25,Tv
64,Rick and Morty,Sci-Fi & Fantasy,Adult Swim,"Rick is a mentally-unbalanced but scientifically-gifted old man who has recently reconnected with his family. He spends most of his time involving his young grandson Morty in dangerous, outlandish adventures throughout space and alternate universes. Compounded with Morty's already unstable family life, these events cause Morty much distress at home and school.",31,2013,22,Tv
65,Westworld,Western,HBO,"A dark odyssey about the dawn of artificial consciousness and the evolution of sin. Set at the intersection of the near future and the reimagined past, it explores a world in which every human appetite, no matter how noble or depraved, can be indulged.",20,2016,60,Tv
66,Two and a Half Men,Comedy,CBS,A hedonistic jingle writer's free-wheeling life comes to an abrupt halt when his brother and 10-year-old nephew move into his beach-front house.,262,2003,30,Tv
67,Doctor Who,Action & Adventure,BBC One,"The adventures of a Time Lord—a time-travelling humanoid alien known as the Doctor—who explores the universe in his TARDIS, a sentient time-travelling space ship. Its exterior appears as a blue British police box, which was a common sight in Britain in 1963 when the series first aired. Along with a succession of companions, the Doctor faces a variety of foes while working to save civilisations, help ordinary people, and right wrongs.",702,1963,25,Tv
68,Stranger Things,Drama,Netflix,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces, and one strange little girl.",17,2016,50,Tv
69,South Park,Comedy,Comedy Central,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.",292,1997,22,Tv
70,CSI: Crime Scene Investigation,Crime,CBS,"The series follows Las Vegas criminalists working for the Las Vegas Police Department as they use physical evidence to solve grisly murders in this unusually graphic drama, which has inspired a host of other cop-show ""procedurals"". The series mixes deduction, gritty subject matter and character-driven drama. The network later added spin-offs CSI: Miami and CSI: NY, which have both been cancelled after ten and nine seasons respectively.",335,2000,45,Tv
71,Into the Badlands,Action & Adventure,AMC,"In a land controlled by feudal barons, a great warrior and a young boy embark on a journey across a dangerous land to find enlightenment. 

A genre-bending martial arts series very loosely based on the classic Chinese tale Journey to the West.",24,2015,43,Tv
72,Better Call Saul,Comedy,AMC,"Six years before Saul Goodman meets Walter White. We meet him when the man who will become Saul Goodman is known as Jimmy McGill, a small-time lawyer searching for his destiny, and, more immediately, hustling to make ends meet. Working alongside, and, often, against Jimmy, is “fixer” Mike Erhmantraut. The series will track Jimmy's transformation into Saul Goodman, the man who puts “criminal” in “criminal lawyer"".",40,2015,45,Tv
91,Elementary,Drama,CBS,"A modern-day drama about a crime-solving duo that cracks the NYPD's most impossible cases. Following his fall from grace in London and a stint in rehab, eccentric Sherlock escapes to Manhattan where his wealthy father forces him to live with his worst nightmare - a sober companion, Dr. Watson.",141,2012,43,Tv
75,Coronation Street,Comedy,ITV,"Coronation Street is a British television soap opera first broadcast on Granada Television in 1960. It was soon syndicated on other ITV franchises. The programme concerns the lives of the residents of Coronation Street in Weatherfield, a fictional area of Salford, and centres around its terraced houses, cafe, corner shop, newsagents, textile factory and the Rovers Return pub.

The programme was devised in 1960 by local scriptwriter Tony Warren at the recently formed Granada Television in Manchester. Warren's initial kitchen sink drama proposal was rejected by the station's founder Sidney Bernstein but he was persuaded by producer Harry Elton to produce the programme for thirteen pilot episodes. It was first broadcast on 9 December 1960 and within six months had become the most-watched programme on British television. It has been one of the most financially lucrative programmes on British commercial television, underpinning the success of the Granada Television franchise and the broadcaster ITV.

Coronation Street is made by Granada Television at Granada Studios in Manchester. It is shown in all ITV regions as well as internationally. On 17 September 2010, it became the world's longest-running TV soap opera in production. Coronation Street is noted for its depiction of a down-to-earth working class community combined with light-hearted humour and strong characters.",1428,1960,30,Tv
76,The Good Doctor,Drama,ABC,A young surgeon with Savant syndrome is recruited into the surgical unit of a prestigious hospital. The question will arise: can a person who doesn't have the ability to relate to people actually save their lives?,25,2017,42,Tv
77,Late Show with David Letterman,Talk,CBS,"Late Show with David Letterman is an American late-night talk show hosted by David Letterman on CBS. The show debuted on August 30, 1993, and is produced by Letterman's production company, Worldwide Pants Incorporated and CBS Television Studios. The show's music director and band-leader of the house band, the CBS Orchestra, is Paul Shaffer. The head writer is Matt Roberts and the announcer is Alan Kalter. Of the major U.S. late-night programs, Late Show ranks second in cumulative average viewers over time and third in number of episodes over time. The show leads other late night shows in ad revenue with $271 million in 2009.

In most U.S. markets the show airs at 11:35 p.m. Eastern/Pacific time, but is recorded Monday through Wednesday at 4:30 p.m., and Thursdays at 3:30 p.m and 6:00 p.m. The second Thursday episode usually airs on Friday of that week.

In 2002, Late Show with David Letterman was ranked No. 7 on TV Guide's 50 Greatest TV Shows of All Time. CBS has a contract with Worldwide Pants to continue the show through 2014; by then, Letterman will surpass Johnny Carson as the longest tenured late-night talk show host.",4252,1993,63,Tv
78,Van Helsing,Action & Adventure,Syfy,"Vanessa Helsing, the daughter of famous vampire hunter and Dracula nemesis Abraham Van Helsing is resurrected five years in the future to find out that vampires have taken over the world and that she possesses unique power over them. She is humanity’s last hope to lead an offensive to take back what has been lost.",39,2016,42,Tv
79,Ślepnąc od świateł,Crime,HBO Europe,An eight-episode story charting seven days from the life of a cocaine dealer whose perfectly organized life begins to sink into chaos while he is forced to make the most important choices in his life.,8,2018,55,Tv
80,Law & Order,Drama,NBC,"Law & Order is an American police procedural and legal drama television series, created by Dick Wolf and part of the Law & Order franchise. It originally aired on NBC and, in syndication, on various cable networks. Law & Order premiered on September 13, 1990, and completed its 20th and final season on May 24, 2010. At the time of its cancellation, Law & Order was the longest-running crime drama on American primetime television. After The Simpsons, both Law & Order and Gunsmoke tied for the second longest-running scripted American primetime series with ongoing characters.",456,1990,60,Tv
81,Z Nation,Action & Adventure,Syfy,"Three years after the zombie virus has gutted the country, a team of everyday heroes must transport the only known survivor of the plague from New York to California, where the last functioning viral lab waits for his blood.",59,2014,44,Tv
82,Black Mirror,Drama,Channel 4,"A contemporary British re-working of The Twilight Zone with stories that tap into the collective unease about our modern world. 

Over the last ten years, technology has transformed almost every aspect of our lives before we've had time to stop and question it. In every home; on every desk; in every palm - a plasma screen; a monitor; a smartphone - a black mirror of our 21st Century existence.",18,2011,55,Tv
83,Big Brother,Reality,CBS,"American version of the reality game show which follows a group of HouseGuests living together 24 hours a day in the ""Big Brother"" house, isolated from the outside world but under constant surveillance with no privacy for three months.",706,2000,45,Tv
84,A Discovery of Witches,Sci-Fi & Fantasy,Sky One,"Diana Bishop, historian and witch, accesses Ashmole 782 and knows she must solve its mysteries. She is offered help by the enigmatic Matthew Clairmont, but he's a vampire and witches should never trust vampires.",8,2018,45,Tv
85,EastEnders,Soap,BBC One,"The everyday lives of working-class residents of Albert Square, a traditional Victorian square of terrace houses surrounding a park in the East End of London's Walford borough.",5567,1985,30,Tv
86,Ozark,Crime,Netflix,"A financial adviser drags his family from Chicago to the Missouri Ozarks, where he must launder $500 million in five years to appease a drug boss.",20,2017,80,Tv
87,The 100,Drama,The CW,"Based on the books by Kass Morgan, this show takes place 100 years in the future, when the Earth has been abandoned due to radioactivity. The last surviving humans live on an ark orbiting the planet — but the ark won't last forever. So the repressive regime picks 100 expendable juvenile delinquents to send down to Earth to see if the planet is still habitable.",71,2014,43,Tv
88,"Un gars, une fille",Comedy,France 2,"This series tells the daily life of a couple : Jean and Alexandra. From easy cases: in bed, in the living room, in the kitchen, by phone... to rare ones: lost on an island or in the country, in Hong Kong, during a wedding... Jean and Alexandra's life is not exactly a long, quiet river.",441,1999,,Tv
89,Survivor,Reality,CBS,"A reality show contest where sixteen or more castaways split between two or more “Tribes” are taken to a remote isolated location and are forced to live off the land with meager supplies for roughly 39 days. Frequent physical challenges are used to pit the tribes against each other for rewards, such as food or luxuries, or for “Immunity”, forcing the other tribe to attend “Tribal Council”, where they must vote off one of their players.",547,2000,42,Tv
90,Black Lightning,Action & Adventure,The CW,"Jefferson Pierce is a man wrestling with a secret. As the father of two daughters and principal of a charter high school that also serves as a safe haven for young people in a New Orleans neighborhood overrun by gang violence, he is a hero to his community.",17,2018,45,Tv
92,Blue Bloods,Crime,CBS,"A drama about a multi-generational family of cops dedicated to New York City law enforcement. Frank Reagan is the New York Police Commissioner and heads both the police force and the Reagan brood. He runs his department as diplomatically as he runs his family, even when dealing with the politics that plagued his unapologetically bold father, Henry, during his stint as Chief.",183,2010,45,Tv
